UserId,Product2Id,ProductName
0052x0000049sbGAAQ,01t2x0000026BarAAE,"NorthPlains Xinet (On-Prem), STANDARD EDITION, STANDARD SUCCESS"
0052x0000049sbGAAQ,01t2x0000026Bb3AAE,"NorthPlains Xinet (On-Prem), STANDARD EDITION"
0052x0000049sbGAAQ,01t2x0000026Bb5AAE,"NorthPlains Xinet (On-Prem), STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x000002CJ5oAAG,"ACRM CRM On-Premise, ENTERPRISE EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x0000026EqyAAE,"ACRM CRM On-Premise, ENTERPRISE EDITION"
0052x0000049BoSAAU,01t2x0000026Er1AAE,"ACRM CRM On-Premise, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000002CmgJAAS,"MessageOne AlertFind, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PncTAAS,"DNN Failover License EVOQ Content, ADD-ON"
0052x000002Q1BbAAK,01t2x000003PncnAAC,"DNN Domain Names EVOQ - Additional 5 Pack, STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000002BuF3AAK,"Pivotal Term User License MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000002Cm2NAAS,"Pivotal Term User License, STANDARD SUCCESS"
0052x000003rG1EAAU,01t2x000002HuDnAAK,CloudFix Term User License STANDARD
0052x0000049BoSAAU,01t2x000002Cg4kAAC,"Jive Public Cloud (Hosted), STANDARD EDITION, STANDARD SUCCESS"
0052x0000049BoSAAU,01t2x0000026DFPAA2,"Jive Public Cloud (Hosted), STANDARD EDITION"
0052x0000049BoSAAU,01t2x0000026DFWAA2,"Jive Public Cloud (Hosted), STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x000003PsJ8AAK,"Mobilogy Software Full, PROFESSIONAL EDITION, PLATINUM SUCCESS"
0052x000003qiyMAAQ,01t2x000003PsJ2AAK,"Mobilogy Software Full, PROFESSIONAL EDITION"
0052x000003qiyMAAQ,01t2x000003PsJ5AAK,"Mobilogy Software Full, PLATINUM SUCCESS"
0052x0000057AtbAAE,01t2x000003PsrtAAC,"BroadVision QuickSilver MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x000002Q1BbAAK,01t2x000003Px9LAAS,"Lyris (AEM) List Manager MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x0000026CAwAAM,"Bonzai (On-Prem) MAINTENANCE, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x00000269f8AAA,"Finserv Product(AIS) Aurea Insurance Solutions Hosted, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x0000026CB2AAM,"Bonzai (On-Prem), STANDARD SUCCESS"
0052x000002V6t4AAC,01t2x000002CmgQAAS,"MessageOne AlertFind, STANDARD EDITION"
0052x000002Q1BbAAK,01t2x000003PncbAAC,"DNN Non-Production License EVOQ, GOLD SUCCESS"
0052x0000049sbGAAQ,01t2x000003Pvo1AAC,"InfoBright Subscription, STANDARD EDITION, GOLD SUCCESS"
0052x0000049sbGAAQ,01t2x000003PvnwAAC,"InfoBright Subscription, STANDARD EDITION"
0052x0000049sbGAAQ,01t2x000003PvnyAAC,"InfoBright Subscription, GOLD SUCCESS"
0052x0000057xOBAAY,01t2x000003PsrtAAC,"BroadVision QuickSilver MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000057xOBAAY,01t2x000003PssCAAS,"BroadVision QuickSilver, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000001E1m2AAC,"DNN Production License EVOQ, STANDARD EDITION, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000003Pnc9AAC,"DNN Production License EVOQ, STANDARD EDITION"
0052x000003X7B4AAK,01t2x000002Cm2IAAS,"Pivotal Term User License, STANDARD EDITION"
0052x000003X7B4AAK,01t2x000002Cm2NAAS,"Pivotal Term User License, STANDARD SUCCESS"
0052x000003XjMPAA0,01t2x000001DpaxAAC,Kayako COLLABORATOR TNK
0052x0000049sbGAAQ,01t2x0000026Bp0AAE,"Saratoga Site License MAINTENANCE, STANDARD EDITION, PLATINUM SUCCESS"
0052x0000049sbGAAQ,01t2x0000026Bp3AAE,"Saratoga Site License, PLATINUM SUCCESS"
0052x000003qiyMAAQ,01t2x0000026BarAAE,"NorthPlains Xinet (On-Prem), STANDARD EDITION, STANDARD SUCCESS"
0052x000003qiyMAAQ,01t2x0000026Bb3AAE,"NorthPlains Xinet (On-Prem), STANDARD EDITION"
0052x000003qiyMAAQ,01t2x0000026Bb5AAE,"NorthPlains Xinet (On-Prem), STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x000003PngkAAC,"Autotrol Tech Illustrator, STANDARD SUCCESS"
0052x0000058AxYAAU,01t2x000002I0oWAAS,STL-TE-Mon-SIL
0052x000002Q1BbAAK,01t2x000002CXf0AAG,"Playbooks, STANDARD EDITION, STANDARD SUCCESS"
0052x000002Q1BbAAK,01t2x0000026DOGAA2,"Playbooks, STANDARD EDITION"
0052x000002Q1BbAAK,01t2x000002Cg4VAAS,"Jive Cloud, STANDARD EDITION, STANDARD SUCCESS"
0052x0000049sbGAAQ,01t2x000000JoARAA0,Kayako OnPremise KC PROFESSIONAL PLATINUM
0052x000002Q1BbAAK,01t2x000001E1mqAAC,"DNN Non-Production License EVOQ Basic, ADD-ON, Standard support"
0052x000002Q1BbAAK,01t2x000003PncEAAS,"DNN Production License EVOQ, PLATINUM SUCCESS"
0052x000002Q1BbAAK,01t2x000003PncZAAS,"DNN Non-Production License EVOQ Content, ADD-ON"
0052x000002Q1BbAAK,01t2x000001E1mIAAS,"DNN Non-Production License EVOQ Basic, ADD-ON, Gold support"
0052x000002Q1BbAAK,01t2x000003PncXAAS,"DNN Non-Production License EVOQ Basic, ADD-ON"
0052x000002Q1BbAAK,01t2x000003PncBAAS,"DNN Production License EVOQ, PROFESSIONAL EDITION"
0052x000003XjMPAA0,01t2x000003PtGYAA0,"AnswerHub Internal (Number of Users) - SaaS, STANDARD EDITION, PLATINUM SUCCESS"
0052x000003XjMPAA0,01t2x000003PtGiAAK,"AnswerHub Internal (Number of Users) - SaaS, STANDARD EDITION"
